iid,match,goal,round,gender,age,field_cd,imprace,imprelig,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,match_es,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr,sinc,intel,fun,amb,shar,norm_match,norm_match_es,career_c:Lawyer,career_c:Academic/Research,career_c:Psychologist,career_c:Doctor/Medicine,career_c:Engineer,career_c:Creative Arts/Entertainment,career_c:Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,career_c:Real Estate,career_c:International/Humanitarian Affairs,career_c:Undecided,career_c:Social Work,career_c:Speech Pathology,career_c:Politics,career_c:Pro sports/Athletics,career_c:Other,career_c:Architecture,country/continent:Africa,country/continent:Asia,country/continent:Australia,country/continent:Canada,country/continent:Central America,country/continent:Europe,country/continent:North America,country/continent:Siberia,country/continent:South America,country/continent:USA,race:Black/African American,race:European/Caucasian-American,race:Latino/Hispanic American,race:Asian/Pacific Islander/Asian-American,race:Other
1,4,2.0,10,0,21.0,1.0,2.0,4.0,7.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,4.0,6.0,8.0,8.0,8.0,7.0,15.0,20.0,20.0,15.0,15.0,15.0,5.7,7.3,7.3,6.8,6.3,6.5,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2,2,1.0,10,0,24.0,1.0,2.0,5.0,5.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,3.0,7.0,5.0,8.0,10.0,3.0,45.0,5.0,25.0,20.0,0.0,5.0,6.4,7.0,7.7,6.1,6.5,5.7,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3,0,6.0,10,0,25.0,2.0,8.0,4.0,3.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,2.0,8.0,9.0,9.0,8.0,8.0,35.0,10.0,35.0,10.0,10.0,0.0,8.1,8.6,9.4,7.7,8.8,8.1,0.0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4,2,1.0,10,0,23.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,2.0,7.0,8.0,7.0,9.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,6.4,8.9,8.6,7.8,7.8,7.1,0.2,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5,2,2.0,10,0,21.0,1.0,8.0,1.0,4.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,2.0,6.0,3.0,10.0,6.0,8.0,20.0,5.0,25.0,25.0,10.0,15.0,6.3,6.0,7.0,6.0,5.6,6.2,0.2,0.1875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
6,2,1.0,10,0,23.0,1.0,1.0,1.0,3.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,4.0,4.0,5.0,7.0,9.0,8.0,5.0,10.0,25.0,20.0,25.0,5.0,15.0,5.9,7.3,8.0,6.0,5.2,4.4,0.2,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
7,2,1.0,10,0,22.0,1.0,2.0,4.0,5.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,2.0,6.0,6.0,7.0,5.0,7.0,15.0,15.0,25.0,20.0,15.0,10.0,5.4,6.9,7.7,5.8,7.6,5.5,0.2,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
8,8,1.0,10,0,25.0,13.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,6.0,2.0,7.0,4.0,8.0,8.0,8.0,9.09,18.18,27.27,18.18,18.18,9.09,6.4,7.2,7.1,6.0,6.7,6.8,0.8,0.1875,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
9,7,1.0,10,0,26.0,13.0,1.0,1.0,4.0,1.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,6.0,1.0,7.0,6.0,7.0,10.0,7.0,20.0,10.0,20.0,30.0,10.0,10.0,7.3,8.6,8.3,7.4,6.8,6.4,0.7,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10,2,2.0,10,0,26.0,13.0,4.0,4.0,6.0,1.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,2.0,6.0,8.0,6.0,10.0,9.0,15.0,15.0,15.0,40.0,10.0,5.0,6.1,8.2,7.5,6.7,6.7,8.5,0.2,0.1875,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
